displayText,renderText,manifestKey,assetId,Fexisting,Mexisting,newF,newM,provenance
der/die Proband/in,der Proband, die Probandin,der/die Proband/in,a140bc4e7bc1cec0,NO,NO,YES,YES,AUTO
der/die Techniker/in,der Techniker, die Technikerin,der/die Techniker/in,5f796d9541dd4187,NO,NO,YES,YES,AUTO
der/die Verlierer/in,der Verlierer, die Verliererin,der/die Verlierer/in,27661d062ec88f42,NO,NO,YES,YES,AUTO
der/die Vermieter/in,der Vermieter, die Vermieterin,der/die Vermieter/in,a3ea8d9d7a248f66,NO,NO,YES,YES,AUTO
der/die Allesfresser/in,der Allesfresser, die Allesfresserin,der/die Allesfresser/in,25c21cc79d34bbc4,NO,NO,YES,YES,AUTO
der/die Feuilletonist/in,der Feuilletonist, die Feuilletonistin,der/die Feuilletonist/in,65a54c7c26fecd66,NO,NO,YES,YES,AUTO
der/die Ministerpräsident/in,der Ministerpräsident, die Ministerpräsidentin,der/die Ministerpräsident/in,bece71071035b77f,NO,NO,YES,YES,AUTO
der/die Nationalsozialist/in,der Nationalsozialist, die Nationalsozialistin,der/die Nationalsozialist/in,6ce7724b327dde3b,NO,NO,YES,YES,AUTO
der/die Nobelpreisträger/in,der Nobelpreisträger, die Nobelpreisträgerin,der/die Nobelpreisträger/in,3d4a57f3abe83048,NO,NO,YES,YES,AUTO
Grafiker/innen,Grafiker, Grafikerinnen,Grafiker/innen,014303954e2d0af7,NO,NO,YES,YES,AUTO
Gründer/innen,Gründer, Gründerinnen,Gründer/innen,07b7ef7cc2eeada1,NO,NO,YES,YES,AUTO
Nachmieter/innen,Nachmieter, Nachmieterinnen,Nachmieter/innen,b1eb4b73e007ae0d,NO,NO,YES,YES,AUTO
Amateur-Boxer/innen,Amateur-Boxer, Amateur-Boxerinnen,Amateur-Boxer/innen,18bd73c5be536b9e,NO,NO,YES,YES,AUTO
Sprachwissenschaftler/innen,Sprachwissenschaftler, Sprachwissenschaftlerinnen,Sprachwissenschaftler/innen,d246410f7a758bb9,NO,NO,YES,YES,AUTO
Wissenschaftler/innen,Wissenschaftler, Wissenschaftlerinnen,Wissenschaftler/innen,adb5d2ffd7fbad8c,NO,NO,YES,YES,AUTO
Kneipenbesitzer/innen,Kneipenbesitzer, Kneipenbesitzerinnen,Kneipenbesitzer/innen,51a8cb798933767a,NO,NO,YES,YES,AUTO
Nichtschwimmer/innen,Nichtschwimmer, Nichtschwimmerinnen,Nichtschwimmer/innen,1a5c1e08cd75ada5,NO,NO,YES,YES,AUTO
Wanderarbeiter/innen,Wanderarbeiter, Wanderarbeiterinnen,Wanderarbeiter/innen,3da6a4b0a7ab3a07,NO,NO,YES,YES,AUTO
Gegner/innen,Gegner, Gegnerinnen,Gegner/innen,404e621f22091ee3,NO,NO,YES,YES,AUTO
Gepäckermittler/innen,Gepäckermittler, Gepäckermittlerinnen,Gepäckermittler/innen,9efbad15f225f4eb,NO,NO,YES,YES,AUTO
Stellvertreter/innen,Stellvertreter, Stellvertreterinnen,Stellvertreter/innen,ba71849334915656,NO,NO,YES,YES,AUTO
Trendforscher/innen,Trendforscher, Trendforscherinnen,Trendforscher/innen,779bf6033adc963c,NO,NO,YES,YES,AUTO
Bauzeichner/innen,Bauzeichner, Bauzeichnerinnen,Bauzeichner/innen,9c8171a8608a7094,NO,NO,YES,YES,AUTO
Bewerber/innen,Bewerber, Bewerberinnen,Bewerber/innen,d1cc13763055b2ee,NO,NO,YES,YES,AUTO
Blogger/innen,Blogger, Bloggerinnen,Blogger/innen,406a22849a0c1100,NO,NO,YES,YES,AUTO
Manager/innen,Manager, Managerinnen,Manager/innen,bb595eedd6634ad0,NO,NO,YES,YES,AUTO
Schneider/innen,Schneider, Schneiderinnen,Schneider/innen,1a02c360592161e4,NO,NO,YES,YES,AUTO
Unternehmer/innen,Unternehmer, Unternehmerinnen,Unternehmer/innen,5f8d594765c6478f,NO,NO,YES,YES,AUTO
Bewerbungstrainer/innen,Bewerbungstrainer, Bewerbungstrainerinnen,Bewerbungstrainer/innen,7641b4d27006b5b4,NO,NO,YES,YES,AUTO
Eventmanager/innen,Eventmanager, Eventmanagerinnen,Eventmanager/innen,7d84365c2f44376b,NO,NO,YES,YES,AUTO
Geschäftsführer/innen,Geschäftsführer, Geschäftsführerinnen,Geschäftsführer/innen,5bcc25d287a2e10c,NO,NO,YES,YES,AUTO
Grillmeister/innen,Grillmeister, Grillmeisterinnen,Grillmeister/innen,999e74edbd116fe1,NO,NO,YES,YES,AUTO
Informatiker/innen,Informatiker, Informatikerinnen,Informatiker/innen,856eb3810ee9fb17,NO,NO,YES,YES,AUTO
Klavierbauer/innen,Klavierbauer, Klavierbauerinnen,Klavierbauer/innen,354e82ab3d10b4e2,NO,NO,YES,YES,AUTO
Maskenbildner/innen,Maskenbildner, Maskenbildnerinnen,Maskenbildner/innen,61613d8bee3f5212,NO,NO,YES,YES,AUTO
Textilunternehmer/innen,Textilunternehmer, Textilunternehmerinnen,Textilunternehmer/innen,d6a226af895f330f,NO,NO,YES,YES,AUTO
Werbepartner/innen,Werbepartner, Werbepartnerinnen,Werbepartner/innen,635c14b3a68858e4,NO,NO,YES,YES,AUTO
Betreiber/innen,Betreiber, Betreiberinnen,Betreiber/innen,6acfc648f8f74bc4,NO,NO,YES,YES,AUTO
Helfer/innen,Helfer, Helferinnen,Helfer/innen,1a2d7541aef18bd1,NO,NO,YES,YES,AUTO
Alleinernährer/innen,Alleinernährer, Alleinernährerinnen,Alleinernährer/innen,dcd26cf6581a1027,NO,NO,YES,YES,AUTO
Geringverdiener/innen,Geringverdiener, Geringverdienerinnen,Geringverdiener/innen,3de74da801487d8c,NO,NO,YES,YES,AUTO
Sicherheitsleiter/innen,Sicherheitsleiter, Sicherheitsleiterinnen,Sicherheitsleiter/innen,2a2653509daf2cc3,NO,NO,YES,YES,AUTO
Sozialhilfeempfänger/innen,Sozialhilfeempfänger, Sozialhilfeempfängerinnen,Sozialhilfeempfänger/innen,3a5e323a46152740,NO,NO,YES,YES,AUTO
Amtsinhaber/innen,Amtsinhaber, Amtsinhaberinnen,Amtsinhaber/innen,25fd011791d14783,NO,NO,YES,YES,AUTO
Bauarbeiter/innen,Bauarbeiter, Bauarbeiterinnen,Bauarbeiter/innen,b9aea72ad8081ac4,NO,NO,YES,YES,AUTO
Grenzsoldaten/innen,Grenzsoldaten, Grenzsoldatinnen,Grenzsoldaten/innen,41252e42e1e4ca29,NO,NO,YES,YES,AUTHORED
Kanzler/innen,Kanzler, Kanzlerinnen,Kanzler/innen,9ec9a6e1c0b006b7,NO,NO,YES,YES,AUTO
Krieger/innen,Krieger, Kriegerinnen,Krieger/innen,983f07ac19b38e94,NO,NO,YES,YES,AUTO
Lokführer/innen,Lokführer, Lokführerinnen,Lokführer/innen,f65de97544387e21,NO,NO,YES,YES,AUTO
Regierungschefs/innen,Regierungschefs, Regierungschefinnen,Regierungschefs/innen,37227dbb4d908ec0,NO,NO,YES,YES,AUTHORED
Rentner/innen,Rentner, Rentnerinnen,Rentner/innen,797102257b9ddfd0,NO,NO,YES,YES,AUTO
Schiedsrichter/innen,Schiedsrichter, Schiedsrichterinnen,Schiedsrichter/innen,e0c424355a0d35ae,NO,NO,YES,YES,AUTO
Besitzer/innen,Besitzer, Besitzerinnen,Besitzer/innen,e44c7496f25053e3,NO,NO,YES,YES,AUTO
Bundeskanzler/innen,Bundeskanzler, Bundeskanzlerinnen,Bundeskanzler/innen,83c70530c72e5a10,NO,NO,YES,YES,AUTO
Bundesminister/innen,Bundesminister, Bundesministerinnen,Bundesminister/innen,cb7fd3089c0835eb,NO,NO,YES,YES,AUTO
Kanzlerkandidaten/innen,Kanzlerkandidaten, Kanzlerkandidatinnen,Kanzlerkandidaten/innen,867333c6b73e1032,NO,NO,YES,YES,AUTHORED
Pressesprecher/innen,Pressesprecher, Pressesprecherinnen,Pressesprecher/innen,7b2a05ddaf207dfc,NO,NO,YES,YES,AUTO
Regierungssprecher/innen,Regierungssprecher, Regierungssprecherinnen,Regierungssprecher/innen,9e4cab10fc805fbb,NO,NO,YES,YES,AUTO
Staatsführer/innen,Staatsführer, Staatsführerinnen,Staatsführer/innen,b4e4409466b4f3f0,NO,NO,YES,YES,AUTO
Außenseiter/innen,Außenseiter, Außenseiterinnen,Außenseiter/innen,21c1004b42b0736e,NO,NO,YES,YES,AUTO
Dichter/innen,Dichter, Dichterinnen,Dichter/innen,d9cb999d10c2a29a,NO,NO,YES,YES,AUTO
Essayisten/innen,Essayisten, Essayistinnen,Essayisten/innen,83aa994153303150,NO,NO,YES,YES,AUTHORED
Musiktherapeuten/innen,Musiktherapeuten, Musiktherapeutinnen,Musiktherapeuten/innen,c392026686382b70,NO,NO,YES,YES,AUTHORED
Philosophen/innen,Philosophen, Philosophinnen,Philosophen/innen,8621af8ef5fcfd59,NO,NO,YES,YES,AUTHORED
Romantiker/innen,Romantiker, Romantikerinnen,Romantiker/innen,3a3b83310ae9a3da,NO,NO,YES,YES,AUTO
Satiriker/innen,Satiriker, Satirikerinnen,Satiriker/innen,a06e769e4d2204e8,NO,NO,YES,YES,AUTO
Schriftsteller/innen,Schriftsteller, Schriftstellerinnen,Schriftsteller/innen,77c7ef7e5d3cec34,NO,NO,YES,YES,AUTO
Detektive/innen,Detektive, Detektivinnen,Detektive/innen,6dddb7074b7ae106,NO,NO,YES,YES,AUTHORED
Idioten/innen,Idioten, Idiotinnen,Idioten/innen,b5bd71e78cd4000e,NO,NO,YES,YES,AUTHORED
Informanten/innen,Informanten, Informantinnen,Informanten/innen,2c2f550f9dce034f,NO,NO,YES,YES,AUTHORED
Kaiser/innen,Kaiser, Kaiserinnen,Kaiser/innen,697ac06e7c1b4f94,NO,NO,YES,YES,AUTO
Kommissare/innen,Kommissare, Kommissarinnen,Kommissare/innen,0ed8211b2113d60e,NO,NO,YES,YES,AUTHORED
Mandanten/innen,Mandanten, Mandantinnen,Mandanten/innen,396cf0d1bbc8e36f,NO,NO,YES,YES,AUTHORED
Reporter/innen,Reporter, Reporterinnen,Reporter/innen,734e3f2ffefa7665,NO,NO,YES,YES,AUTO
Betrachter/innen,Betrachter, Betrachterinnen,Betrachter/innen,36e27ad4422f05b4,NO,NO,YES,YES,AUTO
Entdecker/innen,Entdecker, Entdeckerinnen,Entdecker/innen,6168432d5f251455,NO,NO,YES,YES,AUTO
Galeristen/innen,Galeristen, Galeristinnen,Galeristen/innen,bd824230601fb0ff,NO,NO,YES,YES,AUTHORED
Ich-Erzähler/innen,Ich-Erzähler, Ich-Erzählerinnen,Ich-Erzähler/innen,5f1bfab70ee6984a,NO,NO,YES,YES,AUTO
Malereiprofessoren/innen,Malereiprofessoren, Malereiprofessorinnen,Malereiprofessoren/innen,0a7dbd3803a25f5c,NO,NO,YES,YES,AUTHORED
Meisterschüler/innen,Meisterschüler, Meisterschülerinnen,Meisterschüler/innen,f79e5635ccddc8a7,NO,NO,YES,YES,AUTO
Muttersprachler/innen,Muttersprachler, Muttersprachlerinnen,Muttersprachler/innen,1c6a0a13904c4eca,NO,NO,YES,YES,AUTO
Schlossbesucher/innen,Schlossbesucher, Schlossbesucherinnen,Schlossbesucher/innen,8195ed7ae68bed30,NO,NO,YES,YES,AUTO
Sprachforscher/innen,Sprachforscher, Sprachforscherinnen,Sprachforscher/innen,01cfebee0fdcc14c,NO,NO,YES,YES,AUTO
